step,lat,lon,alt,reward
186,26.326954279095848,79.15662700442273,40000.0,-0.2361507755247294
187,26.31507386571054,79.16736016859976,40000.0,-0.23613577562879073
188,26.303193867136308,79.17809224499202,40000.0,-0.23612074964854401
189,26.291314283931943,79.18882323061928,40000.0,-0.2361056883071433
190,26.279435114048535,79.199553131442,40000.0,-0.2360907070740359
191,26.267556358603674,79.21028194447996,40000.0,-0.23607568484090735
192,26.25567801796989,79.22100966675292,40000.0,-0.2360606290656142
193,26.2438000930785,79.23173630124111,40000.0,-0.23604559377214174
194,26.231922581508073,79.24246185092477,40000.0,-0.23603061253903435
195,26.220045483258602,79.25318631580389,40000.0,-0.23601563130592695
196,26.208168800565264,79.26390969140813,40000.0,-0.23600058295211057
197,26.196292531565415,79.27463198220784,40000.0,-0.2359855980082648
198,26.184416677190374,79.28535318373265,40000.0,-0.23597055900405395
199,26.172541237067616,79.29607329896282,40000.0,-0.2359555535420077
200,26.160666208589436,79.30679233087858,40000.0,-0.23594060392293614
